,Source,Date,Document_Type,Text,URL
0,"Justitiedepartementet,Regeringen",09 november 2023,"Kommittédirektiv,Rättsliga dokument",           Dir. 2023: 156                         Kommittédirektiv   Tilläggsdirektiv till Utredningen om skärpta regler för unga  lagöverträdare (Ju 20 23:13)  Beslut vid regeringssammanträde den  9 november 2023   Förkortad tid för en del av uppdraget   Regeringen beslutade den 6 juli 2023  kommittédirektiv om skärpta regler för  unga lagöverträdare (dir. 2023:112).   Uppdraget skulle enligt direktiven redovisas senast den 10 januari 2025.  Utredningstiden  för den del av  uppdraget  som handlar om skärpt ungdo ms- övervakning  förkortas. Uppdraget i den delen ska  i stället  redovisas i e tt del - betänkande redan  den 3 juni 2024 . Utredningstiden i övrigt ligger fast.  Uppdraget ska alltså slutredovisas senast den 10 januari 2025.   (Justitiedepartementet ) ,https://www.regeringen.se/rattsliga-dokument/kommittedirektiv/2023/11/dir.-2023156
1,Socialdepartementet,09 november 2023,Remiss,"     Remiss       2023 -11-07  S2023/ 02747          Socialdepartementet           Telefonväxel: 08 -405 10 00   Fax: 08 -24 46 31   Webb: www.regeringen.se  Postadress: 103 33 Stockholm   Besöksadress: Fredsgatan 8   E-post: s.registrator@regeringskansliet.se    Promemoria om införande av bestämmelser som möjliggör  ersättning för digitala vårdmöten.   Remissinstanser     1. Fysioterapeuterna   2. Region Blekinge   3. Region Dalarna   4. Region Gotland   5. Region Gävleborg   6. Region Halland   7. Region Jämtland Härjedalen   8. Region Jönköpings län   9. Region Kalmar län   10. Region Kronoberg   11. Region Norrbotten   12. Region Skåne  2 (3)     13. Region Stockholm   14. Region Sörmland   15. Region Uppsala   16. Region Värmland   17. Region Västerbotten   18. Region Västernorrland   19. Region Västmanland   20. Region Örebro län   21. Region Östergötland   22. SPLF (Svenska privatläkarförbundet)   23. Sveriges kommuner och regioner (SKR)   24. Sveriges läkarförbund   25. Vårdföretagarna   26. Västra Götalandsregionen     Remissvaren ska ha kommit in till Socialdepartementet  senast den 8  februari 2024. Svaren bör lämnas pe r e-post till  s.remissvar@regeringskansliet.se  och med kopia till s.sl@regeringskansliet.se.  Ange diarienummer S2023/02747 och remissinstansens namn i ämnesraden  på e-postmeddelandet.   Svaret bör lämnas i två versioner: den ena i ett bearbetningsbart fo rmat (t.ex.  Word), den andra i ett format (t.ex. pdf) som följer tillgänglighetskraven  enligt lagen (2018:1937) om tillgänglighet till digital offentlig service.  Remissinstansens namn ska anges i namnet på respektive dokument . 3 (3)     Remissvaren kommer att public eras på regeringens webbplats.   I remissen ligger att regeringen vill ha synpunkter på förslagen eller  materialet i promemorian.   Myndigheter under regeringen  är skyldiga att svara på remissen. En  myndighet avgör dock på eget ansvar om den har några synpun kter att  redovisa i ett svar. Om myndigheten inte har några synpunkter, räcker det att  svaret ger besked om detta.   För andra remissinstanser innebär remissen en inbjudan att lämna  synpunkter.   Promemorian  kan laddas ned från Regeringskansliets webbplats  www.regeringen.se.   Råd om hur remissyttranden utformas finns i Statsrådsberedningens promemoria Svara på remiss (SB PM 2021:1) . Den kan laddas ned från  Regeringskansliets webbplats www. regeringen.se.         Cecilia Halle   Departementsråd            ",https://www.regeringen.se/remisser/2023/11/remiss-promemoria-om-inforande-av-bestammelser-som-mojliggor-ersattning-for-digitala-vardmoten/
2,Socialdepartementet,09 november 2023,"Departementsserien och promemorior,Rättsliga dokument","     1       Promemoria     Ersättning för digitala vårdmöten i nom den  nationella taxan          Socialdepartementet   S2023/ 02747                  2 Innehållsförteckning   1 Sammanfattning  ................................................................................ 3  2 Författningsförslag  ............................................................................ 4  2.1 Förslag till förordning om ändring i förordningen  (1994:1120) om ersättning för fysioterapi  .......................... 4  2.2 Förslag till förordning om ändring i förordningen  (1994:1121) om läkarvårdsersättning  .................................  5  3 Digitala vårdmöten inom den nationella taxan  .................................  6  4 Nya bestämmelser som tillåter ersättning för digitala vårdmöten inom den nationella taxan  ............................................... 6   5 Ikraftträdande - och övergångsbestämmelser  ..................................... 9  6 Konsekvenser  .................................................................................. 10  6.1 Konsekvenser för patienter  ............................................... 10  6.2 Konsekvenser för regionerna  ............................................ 10  6.3 Konsekvenser för enskilda vårdgivare  ............................. 10  6.4 Övriga konsekvenser  ........................................................ 10        3       1 Samm anfattning  Denna promemoria har tagits fram inom Socialdepartementet utifrån hem - ställn ingar  från Sveriges Kommuner och Regioner (SKR) baserade på  överenskommelser om den s.k. nationella taxan mellan SKR och Fysio- terapeuterna respektive SKR och  Sveriges läkarförbund.   I promemorian föreslås nya bestämmelser  i förordningen (1994:1120)  om ersättning för fysioterapi  respektive i förordningen (1994:1121) om  läkarvårdsersättnin g som gör det möjligt för vårdgivare som är verksamma  enligt den nationella taxan att få ersättning för digitala vård möten  i vissa  fall. Bestämmelser na ska vara frivilliga att tillämpa för regionerna.                 4 2 Författnings förslag   2.1 Förslag till förordning om ändring i  förordningen (1994:1120) om ersättning för  fysioterapi   Härigenom  föreskr ivs att det i förordningen (1994:1120) om ersättning för  fysioterapi1 ska införas en ny paragraf, 5  b §, av följande lydelse.       Nuvarande lydelse  Föreslagen lydelse      5 b §   För annan fysioterapeutisk  behandling än sådan som anges i 6 och 7 §§ och som genomförs vid  ett digitalt möte ( digitalt vård - möte ) lämnas normalarvode med  ett belopp som den region inom  vars område fysioterapeuten  bedriver sin verksamhet och fysio - terapeut en, eller en företrädare  för denne, har kommit överens  om. Sådant normalarvode lämnas  under förutsättning att   1. regionen medger att fysio- terapiersättning lämnas för digi - tala vårdmöten,   2. villkoren i 4  § 1 är uppfyllda,  och  3. regionen och fysioterapeut en,  eller en företrädare för denne, har kommit överens om hur lång tid ett  digitalt vårdmöte minst ska vara  och med vilka digitala verktyg ett  sådant möte ska genomföras .  Under de förutsättningar som  anges i 5 § lämnas reducerat  normalarvode för digitala v ård- möten med belopp som motsvarar  hälften av det överenskomna  normalarvodet.   ____________   1. Denna förordning träder i kraft den 1 maj 2024 .  2. De nya bestämmelserna tillämpas inte för digitala vårdmöten  som har  ägt rum före ikraftträdandet.     1 Senaste lydelse av förordningens rubrik 2013:1151.       5       2.2 Förslag till förordning om ändring i  förordningen (1994:1121) om  läkarvårdsersättning   Härigenom  föreskriv s att det i förordningen (1994:1121) om läkarvårds - ersättning ska införas en ny paragraf, 6 b §, av följand e lydelse.       Nuvarande lydelse  Föreslagen lydelse      6 b §   Om en åtgärd enligt 4  § första  stycket genomförs vid ett digitalt  möte ( digitalt vårdmöte ) lämnas  normalarvode med ett belopp som  den region inom vars område  läkaren bedriver sin verksamhet  och läkaren, eller en företrädare  för denne, har kommit överens  om. Sådant normalarvode lämnas  under förutsättning att   1. regionen medger att läkar - vårdsers ättning lämnas för digi - tala vårdmöten,   2. villkoren i 4  § andra stycket  andra meningen och tredje stycket samt 5  § är uppfyllda, och   3. regionen och läkaren, eller  en företrädare för denne, har  kommit överens om hur lång tid ett  digitalt vårdmöte minst sk a vara  och med vilka digitala verktyg ett  sådant möte ska genomföras .  Under de förutsättningar som  anges i 6 § lämnas reducerat  normalarvode för digitala vård-möten med ett belopp som mot - svarar hälften av det överens - komna normalarvodet.   ____________   1. Denna förordning träder i kraft den 1 maj 2024 .  2. De nya bestämmelserna tillämpas inte för digitala vårdmöten som har  ägt rum före ikraftträdandet.                  6 3 Digitala vårdmöten inom den nationella  taxan   Den grundläggande regleringen av ersättning till läkare och fysio - terapeuter som är verksamma enligt den s.k. nationella taxan finns i lagen  (1993:1651) om läkarvårdsersättning, förkortad LOL, och lagen (1993:1652) om ersättning för fysioterapi, förkortad LOF. I förordninge n  (1994:1120) om ersättning för fysioterapi , förkortad FOF,  och förord- ningen (1994:1121) om läkarvårdsersättning, förkortad FOL,  fastställs de n  ersättning som betalas av regionerna till  dessa fysioterapeuter och läkar e.  Uppdateringar av ersättningsnivåerna utgår från underlag som förhandlas  fram mellan de berörda parterna , dvs. S veriges Kommuner och Regioner  (SKR)  och Fysioterapeuterna respektive  Sveriges läkarförbund. SKR kom   i februari 2023 in med hemställn ingar  om nya ersättningsnivåer för 2023,  2024 och 2025 baserad e på parternas överenskommelse r (S2023/00490  och S2023/00491) . I hemställn ingarna  föreslås även att nya bestämmelser  ska införas i respektive förordning för att möjliggöra ersättning för digitala  vårdmöten  inom ramen för  den nationella taxan . De föreslagna bestäm - melse rna om ersättning för digitala vårdmöten motsvarar delvis tillfällig a  bestämmelser i förordningar na som infördes under covid -19-pandemin  och som möjliggjorde ersättning för digitala vård möten i syfte att minska  smittspridningen  (nu upphävda 4 a § FOF och 5 a § FOL) .  4 Nya bestämmelser som tillåter ersättning  för digitala vårdmöten inom den  nationella taxan   Förslag:  Fysioterapeuter och läkare som är verksamma enligt den  nationella taxan ska kunna få ersättning för behandlingar respektive  åtgärder som ger rätt till normalarvode även när de sker vid digitala  vårdmöten, om den region  inom vars område fysioterapeuten elle r  läkaren är verksam  medger det.   Sådant n ormalarvode ska lämnas med ett belopp som regionen och  fysioterapeuten respektive läkaren  har komm it överens om. De b elopp  som det sammanlag da lämna de arvode t under ett kalenderår inte får  överstiga f ör att normalar vode ska lämnas till en fysioterapeut eller  läkare ska gälla även för ersättning för digitala vårdmöten.   Om det sammanlag da arvodet överstiger de beloppsgränserna , ska  reducerat normalarv ode lämnas med ett belopp som uppgår till hälften  av det normalarvode  som regionen och fysioterapeuten eller läkaren har  kommit överens om.  Även de belopp som sammanlagt lämnat  arvode  under ett kalenderår inte får överstiga för att  reducerat normalarvode  ska lämnas , ska gälla  för ersättning  för digitala vårdmöten.  När det gäller läkarvårdsersättning ska kraven om vad ett läkarbesök  ska omfatta och att undersökningar och behandlingar ska ske med  vedertagna metoder gälla även för ersättning för digitala vårdmöten.       7       Regionen och fysioterapeuten respektive läkaren ska enas om hur  lång tid ett digitalt vårdmöte minst ska vara och med  vilka digitala  verktyg ett sådant möte ska genomföras .  Skälen för förslage n  Permanent a bestämmels er som avser digitala vårdmöten bör införas   Som framgår ovan har SKR och  förbunden i förhandlingarna om ersätt - ningsnivåerna inom den nationella taxan för  perioden 2023– 2025 kommit  överens om att föreslå ny a bestämmelse r om ersättning för digitala vård - möten.   Rätt använda kan  de digitala tjänsterna bidra  till en mer tillgänglig,  effektiv och jämlik vård. Utvecklingen av digitala vårdtjänster har gått  snabbt de senaste åren. Framför allt har antalet digitala kontakter ökat  kraftigt under pandemin. Det handlar om kontakt er med både läkare och  andra yrkesgrupper  inom hälso - och sjukvården. Mot bakgrund av erfaren- heterna av nyttjandet av digitala vårdbesök under covid- 19-pandemin bör  det införas bestämmelser som möjl iggör ersättning för digitala vårdbesök  inom den nationella taxan.  Hur bör de nya bestämmelse rna utformas?   Bestämmelserna bör utgå från de tillfälliga bestämmelserna om ersättning  för sådana möten som fanns under covid- 19-pandemin, dock utan kopp - ling till risken för smittspridning för riskgrupper för covid- 19.  En utgångspunkt för  förslag en är att fysioterapi - eller läkarvårds - ersättning för digitala vårdmöten, dvs. behandlings - eller vårdåtgärder som  sker vid digitala möten, endast ska kunna lämnas  om den region inom vars  område fysioterapeuten eller läkaren bedriver sin verksamhet medger det. Det som avses är att regionen fattar ett generellt beslut , dvs.  som gäller alla  läkare och fysioterapeuter som är verksamma enligt den nationella taxan   inom r egionen, om att medge ersättning för sådana möten. Om den nya  ersättningsmöjligheten över  huvud taget ska finnas  inom en region,  kommer därmed att vara upp till den regionen  att bestämma.  I vissa fall  kan det emellertid bli fråga om att en region måste ers ätta en annan region  för utomlänsvård som har skett vid ett digitalt vårdmöte (se ansvars - fördelningen i 6 § LOF och 6 § LOL ).  Ersättning inom den nationella taxan lämnas i huvudsak i form av  normalarvode, enkelt arvode och särskilt arvode. Vilken form av arvode   som lämnas  för en viss åtgärd utgår från  åtgärdens  komplexitet och  regleras i detalj i förordningarna. De av SKR och förbunden föreslagna  bestämmelserna om ersättning för digitala vårdmöten, liksom de tid igare  gällande  tillfälliga bestämmelse rna, avser endast normalarvode.  De åt- gärder som bör omfattas av den nya ersättningsmöjligheten bör mot denna  bakgrund vara  åtgärder som normalarvode lämnas för, dvs. som omfattas  av den huvudsakliga delen av verksamheten (16  § LOF  och 4 § FOF samt  16 § LOL och 4 § FOL ). Skillnaden är att åtgärderna inte behöver genom- föras ”i direkt kontakt ”, dvs. som det får förstås vid ett fysiskt möte, med  patienten.   När det därefter gäller arvodet s storlek föreslå r SKR och förbunden att  det är regionerna och respektive fysioterapeut eller läkare som i en             8 överenskommelse ska fastställa normalarvodets storlek och villkor för  ersättning. Det bedöms inte finnas något hinder mot en sådan ordning,  föruts att att det är tydligt vilka villkor som avses . Det bedöms däremot   vara rimligt att beloppsgräns erna för sammanlagt mottaget arvode  under  ett kalenderår som gäller för att normalarvode ska lämnas (4  § 1 FOF  och  5 § FOL ) även ska gälla för ersättning för di gitala vårdmöten. Om det  sammanlagda arvodet  till en fysioterapeut eller läkare överstiger den  aktuella  beloppsgränsen,  lämnas reducerat normalarvode (5 § FOF och 6 §  FOL) . I det sammanlagt mottagna arvodet ingår allt arvode enligt den  nationella taxan, dvs. även det i promemorian föreslagna arvodet för  digitala vårdmöten  kommer att ingå . Det reducerade normalarvodet för  digitala vårdmöten bör uppgå till hälften av det normal arvode som  regionen och fysioterapeuten eller läkaren har kommit överens om. Denna  nivå har föreslagits av SKR och förbunden och motsvarar också i stort  nivån på reducerat normalarvode i förhållande till normalarvode i andra  fall. Även de beloppsgränser för sammanlagt mottaget arvode under ett  kalenderår som gäller för att reducerat normalarvode ska lämnas  bör gälla  för ersättning för digitala vårdmöten  (5 § FOF och 6 § FOL) . De belopps - gränserna utgör också , med vissa undantag, den maximala ersättning som  en vår dgivare under ett kalenderår kan få inom den nationella taxan  (ersättningstak). Det i promemorian föreslagna arvodet för digitala vård- möten kommer att ingå även i dessa belopp.   När det gäller läkarvårdsersättning bör därutöver  de grundläggande  kraven för normalarvode om vad ett läkarbesök ska omfatta och om att  unders ökningar och behandlingar ska ske med vedertagna metoder (4 §  andra stycket andra meningen och tredje  stycket  FOL ) gälla för ersättning  för digitala vårdmöten.  Därutöver bör det kunna överlåtas till regionen och  den enskilde fysioterapeuten eller läkaren att enas om minsta tid för  behandlings - och vårdåtgärder  som sker vid digitala möten (jfr 4 § 2 FOF  och 4 § andra stycket första meningen FOL)  och med vilka digitala ve rk- tyg, t.ex. teknisk utrus tning och programvara,  ett digitalt vård möte ska   genomföras . Bland annat kan krav på viss säkerhetsmässig teknisk  standard behöva ställas för att mötena ska kunna genomföras säkert med  hänsyn till bl.a. patientsekretessen.  I hemställan föreslogs en bredare ,  ospecificerad  möjlighet att komma överens om villkor. En sådan är dock  inte förenlig med den omständigheten att regeringen i detta fall endast har  befogenhet att meddela verkställighetföreskrifter till LOF och LOL.   SKR och förbunden f öreslår att det ska regleras att normalarvodets  storlek och villkoren som ska gälla för digitala vårdmöten ska vara lik- värdiga det som gäller f ör ersättning till andra enheter som finansieras  direkt av regionerna via olika avtal. En sådan reglering bedöms  dock vara  oklar i förhållande till vem den riktar sig till och vad konsekvensen skulle   bli om den inte följs . Den föreslagna regleringen bedöms därför inte vara  lämplig att införa i den nationella taxan . Det kan  däremot anses rimligt att  ett sådant förhållningssätt tillämpas i den utsträckning det är möjligt när  en region och en fysioterapeut eller läkare ska enas om normalarvodets  storlek och villkoren för ersättning i nu avsedda fall.  I detta sammanhang  kan det påminnas om att normalarvodet ska utgöra skälig ersättning för  fysioterapeutens eller läkarens arbete och kostnader och ska baseras på  beräknade mottagningskostnader och årlig besöksvolym i verksamheten (15 och 16  §§ LOF samt  15 och 16 §§ LOL).       9       SKR och förbunden föreslår vidare att det ska finnas ett lämplig hetskrav  när det gäller ersättning för  digita la vårdmöte n, dvs. att vårdinsatser får  genomföras genom digitala vårdmöten endast  i den utsträckning det är  lämpligt. I den övriga regleringen om ersättning enligt den nationella taxa n  finns inget motsvarande krav. Det bedöms vara olämpligt att införa e tt  särskilt förordningsreglerat lämplighetskrav i förhållande till ersättning  för  digitala vårdmöten.  Fysioterapeuterna och läkarna har oavsett detta en  skyldighet att följa gällande reg leringar vad gäller  utförandet av  vården  och behandlingarna.   Alternativa lösningar   Det som parterna efte rsträvar med  överenskommelserna i den nu aktuella  delen , dvs.  att ersättning inom den nationella taxan ska kunna lämnas för  digitala vårdmöte n, kan uppnås på  andra sätt än det  som föreslås i  promemorian. Ett alternativ kan vara en ordning som motsvarar den som  gäller för  de befintliga arvodena, dvs. där belopp och vi llkor framgår direkt  i förordning arna. Ett annat alternativ är att justera den ordning som föreslås  i promemorian, exempelvis  genom att de belopp och villkor som ska gälla  för digitala vårdmöten fastställs i en överenskommelse mellan t.ex.  centrala företrä dare för regionerna och vårdgivarna.   Regleringarna om den nationella taxan avser den ekonomiska relationen  mellan regionerna och de berörda fysioterpaeuterna  respektive läkar na.  Det bedöms därför i detta fall vara rimligt att så långt som möjligt utgå  från de förslag som parterna har enats om. Även utifrån att det är av vikt  att en möjlighet till ersättning för digitala vårdmöten kommer på plats s å  snart som möjligt bedöms det inte vara lämpligt att gå vidare med de  angivna alternativ a lösningarna .  5 Ikraftträdande- och  övergångsbestämmelser   Förslag:  De nya bestämmelserna ska träda i kraft den 1 maj 2024 .  Bestämmelserna ska inte tillämpas för digitala vårdmöten  som har ägt  rum före  ikraftträdandet.    Skälen för förslaget:  Eftersom det är  angeläget att även vårdgivare inom  den nationella taxan k an ge vård och behandling via digitala möten, vilket  förutsätter att vårdgivarna kan f å ersättning för dessa , bör de föreslagna   bestämmelserna träda i kraft så snart som möjligt. Det bedöms vara   den 1 maj 2024.   Möjligheten till ersättning för digitala vårdmöten bör öppnas upp på  samma sätt för alla berörda fysioter apeuter eller läkare i en region som  medger sådan ersättning. De föreslagna bestämmelserna bör därför endast   gälla för digitala vårdmöten  som har skett efter ikraftträdandet.              10 6 Konsekvenser   6.1 Konsekvenser för patienter  Förslagen bedöms ha möjlighet att bidra till en mer tillgänglig, effektiv  och jämlik vård.   6.2 Konsekvenser för regionerna   Enligt förslage n är det  upp till varje  region att besluta o m ersättning för  digitala vårdmöten  ska kunna lämnas till de fysioterapeuter och läkare  som  är verksamma enligt den nationella taxan inom regionen. Därutöver  föreslås att en region , som har fattat ett beslut om att medge detta , och  berörd läkare eller fysioterapeut ska komma överens om ersättningsbelopp  och vissa villkor för att ersättning ska lämnas i det enskilda fallet .  Regionerna har därmed en grundläggande kontroll över kostnaderna för vård som utförs vid digitala vårdmöten inom den nationella taxan.   Förslage n innebär dock att även regioner som har valt att inte medge att   ersättning lämnas för digitala vårdmöten kan få kostnader för sådana  möten när det gäller de patienter som väljer att söka digital vård hos en  vårdgivare  som är verksam enligt den nationella taxan i en annan region   (se 6  § LOL respektive LOF) . De vårdgivare som är verksamma enligt den  nationella taxan har dock en beloppsgräns (ett ersättningstak) att förhålla  sig till, vilket innebär att den sammanlagda ersä ttningen inom den  nationella taxan under ett kalenderår inte kan överstiga det beloppet .  Ersättningstaket omfattar enligt förslagen både fysiska och digitala besök.  Det finns således ett gräns för hur stor ersättning  en vårdgivare som är  verksam enligt den nationella taxan kan få varje år. Risken för en större  ökning av digital utomlänsvård och ökade kostnader för regionerna för  sådan vård får därmed ses som förhållandevis liten. Det kan därutöver  noteras att berörda regioner i nu avsedda fall kan komma överens om annat  än att den region i nom vars område patienten är bosatt ska svara för den  utbetalda ersättningen i den andr a regionen  (ovan angivna paragrafer) .  Förslagen bedöms i övrigt inte medföra några ekonomiska konsekvenser  för regionerna.   6.3 Konsekvenser för enskilda vårdgivare   Förslagen bedöms  få positiva konsekvenser för enskilda vårdgivare som  verkar enligt den nationella taxan i och med att ersättning för digitala  vårdtjänster möjliggörs.  Förslagen bedöms inte medföra några kännbara  konsekvens er för andra enskilda vårdgivare.   6.4 Övriga konsekvenser   Förslagen bedöms inte medföra några konsekvenser  för sysselsättningen,  jämställdheten mellan kvinnor och män, miljön eller samhället i övrigt.      11       Förslagen bedöms vidare vara förenliga med det EU -rättsliga regelverket.   Behovet av kontrollmekanismer  för att motverka felaktiga utbetalningar  har inte analyser ats. ",https://www.regeringen.se/rattsliga-dokument/departementsserien-och-promemorior/2023/11/ersattning-for-digitala-vardmoten-inom-den-nationella-taxan/
